Epoch,Train_Loss,Val_Loss
0,0.644529819,0.633562028
10,0.372180194,0.411908418
20,0.345338643,0.375071704
30,0.340920717,0.373004705
40,0.339613914,0.371249914
50,0.337809682,0.365973622
60,0.336247474,0.360603929
70,0.33526668,0.357202977
80,0.334833413,0.356864512
90,0.334440231,0.355586946
100,0.334036529,0.354433388
110,0.333690822,0.353521496
120,0.333336592,0.354076147
130,0.332992584,0.354167581
140,0.332668662,0.354994088
150,0.33238259,0.354670703
160,0.332137734,0.356015056
170,0.331906497,0.356169403
180,0.331795961,0.356833696
190,0.331596166,0.356809169
